79.32 80.40 85.37     59.297 2
79.21 81.07 85.95     90.541 2
81.98 82.70 87.11    159.691 2
82.36 83.50 87.51    210.768 2
79.72 81.40 85.96     76.196 2
80.79 83.59 87.17    226.689 2
81.03 81.76 85.89     73.737 2
79.55 80.62 85.62     58.530 2
80.88 82.68 86.62    105.879 2
79.24 81.16 85.88     58.054 2
83.09 83.95 87.48    281.674 2
78.36 80.04 85.29     68.049 2
81.97 83.79 87.53    199.563 2
81.51 82.94 87.28    170.129 2
79.35 80.55 85.53     75.532 2
79.36 81.99 86.19     74.373 2
79.43 81.22 85.71     67.314 2
81.38 82.76 86.64    106.916 2
82.81 83.90 87.66    263.976 2
79.89 80.65 85.88     69.394 2
80.67 82.03 86.50     73.975 2
79.12 80.43 84.60    107.005 2
81.61 82.00 86.86    147.114 2
