91.63 87.23 89.89    133.040 2
82.83 89.36 91.49    114.621 2
80.64 87.77 92.02    118.695 2
94.07 88.30 90.43      1.397 2
85.52 87.77 90.96    125.556 2
90.07 88.83 93.62      2.992 2
91.73 85.11 88.83     13.735 2
91.79 91.49 92.02    120.777 2
90.12 88.30 91.49     12.705 2
89.09 88.83 88.83     20.872 2
85.40 84.57 87.77     11.801 2
93.44 89.89 90.43    100.165 2
88.22 88.30 90.43     28.233 2
88.72 85.11 90.96     49.935 2
92.10 87.23 88.30      8.198 2
86.00 83.51 87.77      1.809 2
85.48 88.30 93.62    139.684 2
83.51 82.45 88.83    132.182 2
86.66 87.23 89.89    134.501 2
90.03 87.77 91.49     31.292 2
93.15 88.30 90.96     48.831 3
97.79 94.68 94.68    134.681 3
96.50 98.94 99.47     67.036 3
86.49 97.34 96.81      3.257 3
93.58 96.28 96.81     19.643 3
88.17 95.74 97.34      7.884 3
94.71 95.21 95.21      9.915 3
88.77 96.81 94.68     27.700 3
99.81 96.28 96.81    119.970 3
95.16 94.15 94.15     44.055 3
99.61 95.21 95.74    127.681 3
99.50 94.68 95.74     13.603 3
95.03 94.68 95.21     22.750 3
90.11 97.34 97.87     15.933 3
93.81 94.68 94.15     33.289 3
94.99 95.74 95.74    109.735 3
92.34 86.17 89.36     29.182 3
83.77 85.64 90.43     67.374 3
97.81 96.81 96.81      7.432 3
98.09 94.15 94.15      9.027 3
95.26 94.15 94.68      4.493 4
89.03 96.81 97.34      9.505 4
94.47 94.68 95.74      5.970 4
90.69 94.68 96.28      1.450 4
96.98 96.28 96.81     16.914 4
91.45 90.96 93.09      1.422 4
97.06 96.81 97.34     10.333 4
91.38 94.68 97.34      2.367 4
98.92 95.21 96.81     60.017 4
98.80 96.28 96.81     27.347 4
86.65 94.15 94.68     15.180 4
98.62 96.81 96.81      5.518 4
92.87 94.68 94.68    123.942 4
91.37 96.81 97.87      3.624 4
99.35 93.62 94.68      4.574 4
90.61 96.28 97.34      8.361 4
97.90 96.81 97.34     23.965 4
96.77 94.68 94.68     29.792 4
99.51 95.21 95.74    113.567 4
96.34 96.81 96.81      4.204 4
