80.14 73.27 86.14      1.152 2
69.53 82.18 87.13      1.328 2
78.14 69.31 83.17      1.324 2
80.33 72.28 77.23      1.387 2
83.54 68.32 78.22      1.425 2
84.22 74.26 84.16      0.911 2
77.30 77.23 86.14      1.024 2
51.99 78.22 83.17      0.966 2
78.33 79.21 85.15      0.926 2
54.75 78.22 78.22      0.771 2
80.66 75.25 81.19      0.732 2
68.49 82.18 85.15      0.742 2
79.59 86.14 89.11      1.110 2
75.10 73.27 81.19     14.830 2
78.75 71.29 76.24      0.669 2
75.07 74.26 74.26      0.860 2
58.92 76.24 84.16      0.788 2
66.22 80.20 83.17     19.337 2
86.94 74.26 74.26      1.075 2
73.90 70.30 82.18      0.737 2
69.43 80.20 83.17      5.700 3
72.49 85.15 87.13      0.788 3
83.72 75.25 77.23      0.726 3
84.53 82.18 82.18      0.969 3
89.94 77.23 84.16      0.907 3
75.80 80.20 79.21      0.755 3
87.18 80.20 79.21      0.724 3
82.59 79.21 81.19      1.225 3
83.67 75.25 78.22      0.706 3
84.01 82.18 83.17      0.718 3
74.54 77.23 79.21      0.830 3
89.40 75.25 82.18      1.548 3
97.59 80.20 82.18      5.078 3
75.71 78.22 84.16      0.705 3
84.62 71.29 73.27      0.859 3
64.27 78.22 80.20      5.770 3
79.00 81.19 85.15      0.972 3
75.47 73.27 80.20      0.788 3
88.06 83.17 87.13      0.781 3
82.34 79.21 81.19      1.023 3
71.97 77.23 79.21      0.810 4
79.42 80.20 81.19      0.904 4
69.89 76.24 81.19      0.740 4
88.96 75.25 83.17      0.707 4
96.04 80.20 79.21      0.815 4
72.13 78.22 77.23      1.246 4
84.36 78.22 83.17     16.592 4
89.01 79.21 78.22     16.481 4
90.18 82.18 83.17      0.820 4
75.53 78.22 90.10      0.821 4
74.18 81.19 82.18      1.147 4
73.95 83.17 89.11      0.806 4
74.02 82.18 88.12      0.805 4
84.56 80.20 81.19      1.258 4
88.32 77.23 82.18      0.818 4
82.41 90.10 90.10      0.794 4
82.71 80.20 85.15      0.986 4
63.07 79.21 81.19      0.866 4
91.14 81.19 81.19      5.248 4
66.28 84.16 86.14      1.611 4
82.32 86.14 90.10      0.700 5
86.42 80.20 87.13      0.732 5
92.54 79.21 85.15      1.764 5
72.60 74.26 81.19      0.703 5
61.77 84.16 86.14      4.901 5
77.58 79.21 85.15      0.703 5
85.87 81.19 85.15      1.918 5
79.75 81.19 85.15     80.874 5
71.82 76.24 81.19      0.939 5
91.22 75.25 81.19      1.917 5
81.20 73.27 81.19      1.369 5
78.04 81.19 83.17      0.817 5
94.53 80.20 85.15      0.831 5
93.06 77.23 83.17      1.108 5
69.26 80.20 82.18     21.211 5
68.38 83.17 84.16      5.558 5
93.36 79.21 82.18      3.307 5
89.20 79.21 83.17      0.776 5
88.82 73.27 76.24     81.723 5
60.87 79.21 84.16      8.074 5
72.09 84.16 88.12      0.776 7
64.61 80.20 87.13     14.590 7
85.19 78.22 83.17     73.117 7
94.67 77.23 86.14     77.509 7
87.41 79.21 86.14      8.222 7
86.35 80.20 82.18      0.899 7
81.07 83.17 86.14      0.849 7
84.32 76.24 82.18      0.770 7
76.65 83.17 85.15     82.987 7
76.68 82.18 85.15      0.776 7
76.40 81.19 84.16      0.832 7
79.93 81.19 84.16      0.754 7
65.13 85.15 89.11      0.845 7
78.20 81.19 84.16      3.761 7
98.14 82.18 84.16     83.307 7
81.78 82.18 86.14      4.037 7
99.02 79.21 81.19     80.016 7
82.21 81.19 85.15     20.406 7
80.40 78.22 81.19      0.733 7
89.22 82.18 86.14      1.178 7
