69.58 63.08 63.08      4.966 2
63.20 49.23 47.69      1.213 2
48.55 53.85 66.15      1.212 2
54.39 44.62 58.46      0.883 2
42.94 55.38 61.54      1.260 2
61.76 55.38 63.08      0.942 2
48.04 49.23 58.46      2.090 2
52.46 52.31 43.08      0.921 2
48.30 60.00 63.08      1.162 2
68.76 55.38 60.00      2.049 2
58.61 56.92 63.08      8.101 2
43.21 73.85 64.62      1.016 2
45.45 44.62 55.38      0.817 2
59.25 52.31 61.54      2.747 2
48.70 55.38 66.15      1.021 2
65.56 53.85 52.31      1.666 2
80.87 67.69 73.85      5.929 2
53.07 58.46 47.69      0.809 2
53.16 52.31 52.31      0.922 2
33.87 44.62 58.46      1.343 2
71.80 73.85 75.38      0.884 3
52.79 56.92 64.62      0.765 3
43.27 60.00 52.31      0.566 3
47.07 58.46 58.46      1.367 3
74.77 58.46 64.62      0.981 3
48.09 60.00 66.15     62.671 3
78.13 56.92 58.46      1.072 3
71.16 58.46 64.62     10.234 3
85.07 66.15 66.15      1.793 3
90.95 60.00 66.15     63.473 3
55.44 56.92 67.69      0.581 3
81.46 60.00 58.46      1.265 3
59.38 52.31 55.38      0.557 3
51.34 58.46 64.62      0.760 3
83.52 52.31 52.31      0.713 3
67.62 60.00 60.00      5.490 3
78.87 66.15 66.15      0.709 3
49.64 58.46 63.08      0.625 3
49.42 49.23 63.08      0.857 3
67.83 56.92 61.54      0.743 3
63.11 61.54 66.15      0.879 4
70.80 61.54 66.15      0.583 4
67.55 67.69 72.31      0.696 4
83.57 56.92 61.54      0.706 4
78.77 64.62 64.62      7.534 4
96.48 52.31 56.92      0.710 4
63.29 64.62 66.15      0.683 4
65.48 61.54 63.08      0.643 4
76.43 64.62 66.15      0.583 4
74.73 63.08 63.08      0.727 4
34.37 47.69 61.54      0.601 4
90.35 64.62 64.62      0.577 4
73.32 63.08 66.15      2.333 4
66.18 64.62 66.15      1.834 4
59.83 55.38 58.46      0.619 4
57.36 49.23 56.92      2.078 4
78.24 64.62 70.77      4.154 4
62.22 60.00 61.54      0.592 4
61.00 63.08 63.08      0.730 4
61.56 58.46 60.00      1.797 4
79.39 58.46 64.62      0.778 5
89.70 66.15 66.15      0.703 5
75.11 60.00 56.92      0.652 5
68.49 66.15 67.69      0.612 5
40.41 72.31 70.77      0.606 5
56.39 56.92 66.15      0.602 5
80.08 67.69 67.69      0.913 5
53.85 61.54 61.54      0.747 5
68.38 58.46 63.08      0.611 5
53.21 61.54 66.15      0.653 5
62.89 61.54 66.15      1.189 5
73.59 69.23 69.23      0.627 5
69.17 70.77 72.31      0.746 5
76.86 55.38 56.92      0.653 5
64.50 75.38 72.31      0.838 5
92.32 58.46 64.62      1.104 5
78.59 64.62 66.15      0.655 5
48.13 72.31 75.38      1.593 5
73.16 60.00 60.00      0.817 5
60.62 64.62 60.00      0.650 5
89.79 70.77 69.23      0.686 9
78.39 66.15 63.08      0.663 9
82.41 72.31 73.85      0.634 9
65.23 76.92 78.46      0.719 9
57.98 60.00 76.92      0.640 9
83.39 70.77 72.31      0.791 9
77.74 69.23 69.23      0.638 9
52.68 70.77 72.31      0.640 9
85.14 76.92 76.92     16.534 9
71.36 67.69 69.23      0.705 9
68.39 72.31 69.23      0.705 9
74.80 70.77 70.77      1.149 9
66.95 55.38 53.85      0.651 9
81.76 63.08 64.62      5.616 9
75.07 76.92 80.00     71.149 9
93.31 50.77 58.46      0.636 9
75.95 72.31 75.38      5.294 9
87.23 72.31 75.38      0.751 9
77.79 67.69 67.69      1.255 9
75.22 56.92 56.92      1.166 9
