94.87 89.62 90.57      3.538 2
81.53 84.91 88.68      1.570 2
92.26 78.30 79.25      1.518 2
90.47 83.02 82.08     27.382 2
86.08 83.02 91.51      1.315 2
84.61 89.62 90.57     30.772 2
79.45 88.68 87.74      1.374 2
98.13 88.68 89.62      5.074 2
99.30 85.85 89.62     49.555 2
88.04 73.58 76.42      1.069 2
78.10 86.79 83.96      1.782 2
96.99 84.91 84.91      4.628 2
98.29 87.74 87.74    116.996 2
91.62 83.96 85.85      6.780 2
95.20 87.74 89.62      1.743 2
89.23 90.57 90.57      3.110 2
87.42 89.62 90.57      1.766 2
70.68 85.85 87.74      1.218 2
94.94 83.02 83.02      1.316 2
82.03 88.68 91.51      1.414 2
92.31 91.51 89.62      2.676 3
99.41 84.91 87.74      1.998 3
91.59 78.30 77.36      1.327 3
98.55 91.51 93.40    123.540 3
98.19 83.02 83.02      1.661 3
92.32 85.85 85.85     14.670 3
82.34 90.57 89.62      1.349 3
87.70 88.68 90.57      0.904 3
91.33 96.23 97.17      2.276 3
70.79 79.25 79.25      1.050 3
99.89 76.42 77.36      1.473 3
81.52 87.74 85.85      1.642 3
87.76 88.68 87.74      1.213 3
99.74 91.51 90.57      1.505 3
78.26 87.74 87.74      1.548 3
90.45 82.08 83.96      1.245 3
91.78 86.79 88.68      1.135 3
92.31 83.96 83.96      1.382 3
98.01 86.79 86.79      1.714 3
95.65 89.62 90.57      1.675 3
84.45 89.62 89.62      1.375 4
85.92 83.96 83.96      1.594 4
90.63 78.30 79.25      1.134 4
92.30 80.19 82.08    123.400 4
96.40 89.62 88.68      2.237 4
99.99 91.51 91.51      7.289 4
94.60 94.34 90.57      1.628 4
81.84 93.40 94.34      1.222 4
80.32 92.45 90.57      4.656 4
87.71 84.91 85.85      4.100 4
89.84 89.62 89.62     28.815 4
86.99 93.40 93.40      1.482 4
79.96 86.79 85.85      1.828 4
84.71 82.08 83.96      9.507 4
83.97 89.62 90.57      1.264 4
95.94 94.34 94.34      2.194 4
92.31 84.91 84.91      4.937 4
91.54 88.68 88.68      1.390 4
92.31 84.91 84.91      2.642 4
100.00 82.08 82.08    135.291 4
99.47 85.85 85.85      1.640 5
91.71 84.91 84.91      1.647 5
92.31 84.91 85.85      2.639 5
92.01 92.45 93.40      2.193 5
92.31 84.91 84.91      1.428 5
93.42 88.68 87.74      1.291 5
85.54 90.57 91.51      1.219 5
99.62 92.45 92.45      1.483 5
84.42 87.74 87.74      1.387 5
82.92 93.40 95.28      1.474 5
99.69 87.74 87.74    141.356 5
92.08 86.79 87.74      1.670 5
77.19 85.85 86.79      1.260 5
97.17 89.62 89.62      2.002 5
98.29 83.96 83.96      1.204 5
73.76 90.57 90.57     61.528 5
94.09 88.68 88.68      2.283 5
90.13 91.51 91.51      1.278 5
91.41 81.13 81.13      1.281 5
99.97 89.62 89.62      1.433 5
100.00 83.96 83.96      2.270 33
97.60 86.79 86.79      1.892 33
79.68 86.79 86.79      2.247 33
100.00 85.85 87.74      4.905 33
99.88 82.08 83.02      1.937 33
91.90 88.68 88.68      3.703 33
92.31 84.91 83.02    219.030 33
92.31 80.19 79.25      3.283 33
92.31 85.85 84.91      8.679 33
95.36 82.08 82.08      2.057 33
82.58 86.79 86.79      1.973 33
100.00 87.74 79.25      2.522 33
85.92 81.13 83.02      2.944 33
95.69 85.85 85.85      2.010 33
98.41 81.13 82.08      2.055 33
99.10 86.79 86.79      2.033 33
84.62 86.79 83.02      2.296 33
81.75 83.02 83.02      2.203 33
92.27 85.85 84.91      4.044 33
89.61 82.08 85.85      2.589 33
