99.17 95.56 95.56      0.810 2
93.20 100.00 97.78      0.536 2
88.80 97.78 100.00      0.495 2
99.25 93.33 97.78      0.725 2
99.90 97.78 97.78     76.905 2
100.00 93.33 93.33     60.682 2
97.81 95.56 95.56      0.476 2
90.94 95.56 97.78     28.789 2
98.96 97.78 95.56     55.261 2
97.64 97.78 97.78      0.571 2
99.56 95.56 95.56     56.792 2
92.61 97.78 100.00      1.392 2
98.92 95.56 95.56      0.561 2
99.51 100.00 100.00      0.541 2
99.46 93.33 93.33     67.685 2
99.61 100.00 100.00      0.572 2
95.83 93.33 95.56      0.517 2
94.35 97.78 97.78      0.573 2
85.27 91.11 95.56      0.520 2
97.37 97.78 97.78      0.717 2
96.59 95.56 95.56     78.436 3
95.50 97.78 93.33     59.825 3
97.40 97.78 100.00     35.729 3
97.34 95.56 95.56      0.536 3
99.39 91.11 93.33     55.491 3
100.00 95.56 95.56      0.723 3
97.52 100.00 100.00      0.517 3
88.76 93.33 93.33      0.623 3
99.99 91.11 91.11      0.618 3
89.79 97.78 97.78      0.522 3
89.95 100.00 100.00      0.978 3
99.37 95.56 97.78     58.338 3
99.91 95.56 95.56     57.330 3
99.91 93.33 93.33     59.443 3
99.89 93.33 95.56     62.473 3
99.98 95.56 97.78     55.897 3
95.89 97.78 97.78     58.371 3
99.79 95.56 97.78     60.680 3
99.77 93.33 91.11      0.625 3
99.20 97.78 97.78      0.675 3
99.37 95.56 95.56     55.259 4
99.76 93.33 95.56      0.576 4
99.40 95.56 95.56      0.530 4
100.00 97.78 97.78      0.494 4
99.97 95.56 95.56      0.499 4
81.03 97.78 100.00      0.500 4
100.00 95.56 95.56     56.803 4
99.96 100.00 100.00     36.632 4
85.02 100.00 100.00      0.568 4
100.00 93.33 93.33     57.403 4
97.83 97.78 97.78      0.597 4
100.00 93.33 93.33     55.966 4
99.96 93.33 95.56     57.854 4
99.95 88.89 91.11     55.837 4
99.08 95.56 95.56      0.506 4
100.00 88.89 88.89     56.614 4
88.27 100.00 100.00      0.535 4
99.97 95.56 95.56     57.231 4
99.55 97.78 97.78      0.561 4
99.90 97.78 97.78      0.496 4
