65.80 69.70 77.92     22.004 2
72.09 72.29 74.89      1.097 2
63.01 72.73 80.09      6.722 2
74.72 65.37 75.76      0.838 2
70.44 71.43 77.92      0.988 2
78.42 63.20 77.06      1.445 2
76.00 68.40 74.03      1.240 2
72.73 64.94 76.19      1.012 2
72.34 69.26 77.06      1.424 2
69.39 72.73 75.76      1.781 2
77.43 67.97 77.49      2.351 2
66.10 71.00 78.79      1.117 2
70.36 66.23 76.19      0.729 2
73.98 70.13 79.22      1.557 2
73.93 71.00 71.00      1.495 2
58.72 66.67 75.32      4.143 2
65.00 71.86 77.06      1.066 2
67.22 71.43 76.62      0.954 2
72.72 65.80 77.49      1.826 2
71.69 69.70 77.06      1.370 2
69.00 68.40 71.00      0.925 3
79.67 65.80 71.43      1.291 3
75.78 68.83 77.92      3.112 3
74.90 68.83 77.92      1.509 3
71.88 66.67 74.03      1.087 3
70.74 68.83 77.49      1.011 3
76.89 74.03 76.19      0.849 3
67.43 74.89 75.76      0.963 3
69.50 69.26 81.39      0.803 3
56.00 68.83 70.56      0.868 3
69.61 67.53 71.00     16.306 3
67.54 61.90 77.92      0.838 3
65.65 69.26 76.62      0.748 3
74.68 68.83 78.35     32.448 3
77.87 64.94 71.00      0.888 3
68.69 67.10 77.92      0.853 3
70.13 69.26 77.92      1.681 3
65.31 68.83 68.83      1.066 3
65.00 69.70 80.52      0.713 3
63.81 69.70 77.49      1.137 3
64.76 65.37 73.16      0.686 4
67.23 71.43 77.06      1.293 4
67.14 66.23 69.70      0.787 4
81.74 65.80 74.46      1.298 4
64.04 69.70 79.22      1.129 4
70.49 66.67 71.43      1.884 4
63.56 66.67 73.16      0.786 4
68.38 68.83 73.59      1.061 4
71.42 68.83 73.16      0.754 4
74.02 70.56 74.89      0.966 4
70.74 70.56 72.73      9.227 4
74.39 71.86 75.32      0.961 4
73.27 69.70 71.00      0.852 4
71.57 71.00 75.32      4.815 4
68.45 73.59 77.49      0.909 4
73.70 70.56 74.89      0.825 4
73.75 75.32 79.65      2.664 4
80.93 68.83 74.89      0.836 4
66.45 66.23 73.59      1.076 4
80.31 70.56 72.73      2.483 4
76.04 67.97 73.59      0.939 5
81.26 73.16 75.32      1.077 5
69.69 71.43 75.32      1.129 5
74.13 69.70 69.70      0.965 5
77.32 67.10 68.83      1.720 5
73.90 70.56 75.76      0.877 5
70.54 63.64 67.53      2.265 5
67.83 65.80 68.40      2.940 5
71.05 74.89 76.19      1.071 5
75.70 68.83 70.56      1.125 5
74.62 69.70 71.86      0.872 5
73.41 69.70 73.16      1.464 5
62.26 70.56 76.19      0.838 5
65.82 71.00 73.59      0.940 5
65.60 71.43 77.06      1.183 5
75.03 69.26 72.73      1.065 5
65.68 68.83 78.35      1.240 5
80.42 66.67 67.97      2.147 5
80.53 69.70 71.86      0.734 5
78.17 60.61 65.37      1.113 5
70.98 74.03 73.16      3.169 8
74.72 74.46 76.19      1.154 8
84.13 74.03 74.89      1.826 8
77.55 67.53 67.53      7.762 8
74.33 70.56 71.86      0.872 8
80.57 70.13 70.13      0.891 8
79.80 64.07 67.10      0.805 8
74.44 66.23 68.83     78.536 8
80.60 60.61 61.90      1.466 8
82.89 64.50 66.67     78.029 8
78.16 67.10 68.40      2.040 8
83.59 67.97 69.26     78.209 8
60.27 69.70 71.00      0.948 8
77.59 71.86 73.59      1.042 8
82.51 66.23 67.10      1.358 8
66.94 69.26 70.56      0.831 8
65.99 71.86 73.16      1.313 8
79.64 67.97 71.00      1.161 8
80.91 71.43 70.13      0.906 8
68.92 76.19 77.06      0.746 8
