80.49 88.02 87.59      4.413 2
84.89 88.46 90.04     10.153 2
83.46 86.58 89.18     13.075 2
87.68 90.48 88.31      3.940 2
83.59 88.74 89.18     11.864 2
81.42 87.88 87.59      9.654 2
90.34 87.88 88.89     26.504 2
83.46 88.74 89.75     23.040 2
85.76 87.88 86.87      4.868 2
87.16 89.61 91.20     13.834 2
80.82 84.56 87.45      3.848 2
79.20 89.75 89.75     31.421 2
85.57 86.44 86.15     15.243 2
83.29 91.05 91.20     59.671 2
85.66 90.91 90.33     13.168 2
86.53 89.61 90.04      6.709 2
82.17 88.60 89.61     15.019 2
85.76 91.20 88.60     21.520 2
87.41 87.30 87.01     25.831 2
87.76 86.87 87.16      6.974 2
96.97 95.24 94.81     40.068 3
89.06 91.49 91.49      4.474 3
94.87 96.10 95.67     24.406 3
93.88 96.68 95.82      5.059 3
94.71 95.96 95.96     48.952 3
89.26 96.97 96.25    157.400 3
93.72 95.82 94.08      7.567 3
90.71 95.82 95.96     58.480 3
95.72 94.37 93.36     44.042 3
92.18 94.81 93.65     10.966 3
91.94 95.67 92.21    284.324 3
92.32 95.38 94.52     16.447 3
93.65 95.67 92.93     58.016 3
90.42 97.26 96.10      8.170 3
95.48 94.66 94.81     14.236 3
91.20 96.25 94.81     33.025 3
92.07 94.66 92.64      4.869 3
89.19 93.07 92.93     58.084 3
90.54 96.25 95.24     11.055 3
87.57 96.83 95.96     13.398 3
91.46 96.97 97.11     41.772 4
97.45 97.40 96.10     77.095 4
93.20 97.84 96.10     12.000 4
95.15 98.12 96.83     33.585 4
94.94 96.97 96.68    104.850 4
94.49 97.69 96.68     47.393 4
91.30 97.11 95.53    279.711 4
93.47 97.11 95.53     10.210 4
91.96 96.68 95.24     12.178 4
94.06 97.11 96.97      5.549 4
93.70 97.84 96.68     31.038 4
93.00 97.98 96.54    119.308 4
95.91 97.55 95.67     29.803 4
96.97 95.38 94.23      4.744 4
96.81 95.96 95.24     12.870 4
94.29 96.39 95.24     10.879 4
96.50 96.68 96.10     33.648 4
96.75 97.11 96.83     16.931 4
90.61 98.41 97.84     69.451 4
92.83 95.96 94.66      5.837 4
91.11 96.83 96.39      4.994 5
95.17 96.39 96.54     94.737 5
95.49 96.97 96.39     60.888 5
95.53 97.11 96.68      3.808 5
94.48 98.27 96.83      7.369 5
97.46 95.82 96.10      7.527 5
94.73 97.26 96.97     57.712 5
94.96 97.11 96.68      7.618 5
97.10 97.11 96.54     51.200 5
97.65 96.54 96.54    308.811 5
94.23 96.97 96.54      8.460 5
95.40 97.69 96.68    173.177 5
94.60 97.26 97.11      7.646 5
94.82 98.27 97.69     30.634 5
95.28 96.39 96.39     24.467 5
95.99 97.69 96.54      7.349 5
94.36 97.26 97.69     14.093 5
95.86 95.53 94.95      5.895 5
92.94 97.98 96.54     19.610 5
92.44 96.54 97.11     22.185 5
97.36 97.55 96.68     63.473 18
97.54 96.54 96.68     43.986 18
97.07 96.83 96.97     24.530 18
93.37 97.40 96.68      8.407 18
97.29 97.26 96.68    184.224 18
98.33 97.11 97.26    441.778 18
93.57 97.69 97.40     26.267 18
98.00 96.83 97.11    315.153 18
98.94 97.98 97.69    437.417 18
94.12 97.26 96.97      7.639 18
94.44 97.26 97.11    432.077 18
98.57 97.40 97.84      9.479 18
88.98 91.92 91.20      5.337 18
95.15 97.40 96.68     33.367 18
96.46 97.55 97.26      5.417 18
97.54 96.54 96.68      8.641 18
93.39 98.12 97.26     10.572 18
92.11 96.97 96.54      4.977 18
96.51 96.97 96.39     81.382 18
95.94 97.55 96.54    315.630 18
