75.55 74.67 81.78     24.542 2
69.68 73.78 79.11     68.925 2
62.31 73.78 80.00     50.797 2
72.43 73.78 79.11     67.563 2
66.07 77.33 80.00     67.652 2
73.10 76.44 78.22      4.842 2
69.88 76.44 78.67      2.622 2
67.76 73.78 79.56      0.725 2
65.63 72.44 79.56      0.815 2
64.33 75.11 80.00     17.950 2
74.56 71.56 77.78      1.667 2
70.67 68.00 76.89     69.293 2
70.28 72.44 78.22      9.531 2
75.30 73.78 76.44      0.648 2
65.42 72.00 76.89      0.648 2
68.25 73.33 74.67      3.926 2
72.64 74.67 80.44      0.760 2
71.59 71.11 81.78      5.232 2
80.28 72.89 76.00      0.679 2
73.83 74.67 80.44     69.015 2
68.77 70.22 77.33     38.027 3
68.27 73.78 78.22     69.562 3
62.28 73.78 76.44     69.939 3
70.85 71.56 77.78      4.065 3
66.26 75.11 78.22     69.710 3
66.58 73.78 77.33      0.723 3
67.10 78.67 80.89      0.743 3
71.98 70.22 76.44      0.827 3
77.49 72.44 79.11     69.487 3
70.81 73.78 74.67      0.674 3
63.10 72.44 79.11      0.696 3
71.64 76.44 78.67      3.560 3
67.92 72.89 78.67      0.865 3
73.53 72.00 81.33     36.848 3
76.63 71.11 77.33      7.357 3
71.03 77.33 79.56      4.062 3
70.67 73.78 76.44      0.826 3
67.63 76.44 80.00     45.797 3
74.83 74.22 76.00      1.950 3
74.28 69.78 75.56     70.632 3
66.48 70.22 73.33      3.154 4
64.63 72.00 80.44      1.337 4
11.62 68.89 23.11      2.390 4
73.36 71.56 82.22     72.472 4
69.42 76.00 80.89      1.208 4
65.91 72.44 78.67      1.335 4
77.20 67.11 69.78      2.552 4
73.19 73.78 78.67     51.602 4
70.93 71.11 82.22      1.185 4
63.65 76.00 81.78      1.041 4
82.23 69.33 68.44      7.799 4
68.57 73.33 80.89      1.513 4
62.58 69.78 80.00     72.065 4
72.01 72.00 78.67      1.358 4
64.94 68.00 76.00      1.319 4
69.20 70.22 73.78      2.958 4
65.09 68.89 79.11      2.372 4
69.65 72.44 80.89      1.283 4
62.62 71.11 78.22     72.079 4
67.27 74.67 80.44     71.656 4
