96.81 98.15 98.15      0.474 2
100.00 94.44 94.44     54.415 2
99.67 90.74 94.44      0.477 2
99.59 98.15 100.00     52.655 2
99.98 96.30 98.15     51.027 2
100.00 98.15 98.15      0.595 2
100.00 100.00 98.15     54.447 2
100.00 98.15 98.15     53.885 2
93.55 94.44 96.30      0.493 2
99.74 100.00 98.15      0.534 2
99.97 100.00 100.00     51.232 2
100.00 98.15 98.15     51.034 2
99.99 94.44 94.44     53.561 2
100.00 90.74 92.59     52.899 2
99.73 100.00 100.00     51.567 2
87.23 100.00 100.00     50.595 2
99.86 96.30 96.30     52.814 2
99.90 98.15 96.30     52.961 2
99.99 100.00 100.00      0.545 2
99.99 98.15 98.15      0.561 2
100.00 94.44 94.44      0.819 3
100.00 90.74 92.59      0.494 3
100.00 96.30 96.30      0.535 3
99.99 98.15 98.15      0.480 3
85.76 98.15 98.15      0.479 3
100.00 96.30 98.15     54.686 3
100.00 94.44 94.44      0.935 3
99.27 100.00 100.00      0.537 3
92.70 100.00 100.00      0.518 3
100.00 100.00 100.00     52.291 3
99.98 100.00 100.00      0.499 3
100.00 94.44 94.44     53.862 3
100.00 98.15 100.00      0.498 3
99.73 98.15 98.15      0.477 3
91.31 96.30 98.15     10.061 3
99.64 98.15 96.30      0.475 3
100.00 100.00 100.00     56.479 3
95.15 98.15 98.15      0.481 3
99.91 94.44 96.30     55.845 3
100.00 100.00 100.00     66.719 3
87.00 100.00 100.00      0.714 4
88.53 100.00 98.15      0.739 4
99.98 100.00 100.00     61.658 4
99.95 92.59 96.30      0.911 4
99.88 98.15 98.15      0.682 4
100.00 92.59 92.59      0.832 4
100.00 96.30 96.30     68.693 4
100.00 98.15 98.15      1.064 4
100.00 98.15 98.15     59.338 4
100.00 94.44 94.44      0.680 4
99.98 96.30 96.30     58.425 4
99.85 98.15 98.15      0.501 4
99.99 98.15 98.15     53.502 4
99.80 98.15 98.15      4.778 4
100.00 96.30 98.15     55.595 4
100.00 94.44 94.44      0.588 4
95.30 98.15 98.15      0.536 4
99.99 94.44 94.44      0.519 4
99.99 100.00 100.00      0.483 4
99.97 96.30 98.15     52.059 4
100.00 92.59 92.59     61.551 5
99.99 98.15 98.15     61.944 5
99.99 94.44 94.44     58.887 5
100.00 98.15 98.15      0.855 5
96.42 98.15 98.15      0.942 5
100.00 94.44 94.44      0.755 5
99.99 98.15 98.15      0.724 5
98.52 98.15 98.15      0.518 5
99.95 100.00 100.00      0.508 5
95.89 94.44 94.44      0.504 5
100.00 100.00 100.00     56.895 5
100.00 94.44 94.44     46.004 5
99.97 98.15 98.15      0.513 5
100.00 96.30 96.30     58.584 5
100.00 98.15 100.00     58.381 5
100.00 96.30 96.30      0.514 5
99.99 98.15 98.15      0.613 5
100.00 98.15 98.15     55.337 5
100.00 96.30 96.30      0.569 5
93.69 96.30 98.15     17.468 5
100.00 100.00 100.00      0.960 13
100.00 96.30 96.30      0.618 13
87.61 100.00 100.00     86.905 13
100.00 94.44 94.44     80.447 13
100.00 94.44 94.44     88.504 13
100.00 94.44 94.44      1.088 13
100.00 98.15 98.15      0.666 13
100.00 98.15 98.15      1.134 13
99.60 98.15 98.15      0.754 13
99.99 96.30 96.30     74.967 13
100.00 96.30 96.30     84.684 13
100.00 94.44 94.44      0.883 13
100.00 98.15 98.15      0.848 13
100.00 96.30 96.30      0.823 13
98.19 94.44 94.44      0.879 13
100.00 98.15 98.15     82.312 13
100.00 96.30 96.30      1.164 13
100.00 96.30 96.30      0.982 13
99.66 98.15 98.15     75.058 13
100.00 98.15 98.15      3.376 13
