47.43 48.21 55.16      4.496 2
51.72 43.05 55.38     22.774 2
38.22 44.17 56.05      4.288 2
40.56 47.09 54.93      3.121 2
43.90 44.62 54.71      5.225 2
43.14 43.72 51.35      2.974 2
34.79 43.50 54.71     10.679 2
45.20 50.22 53.14      3.862 2
45.55 47.09 50.67      5.575 2
40.97 47.09 48.21      2.913 2
40.81 48.43 58.30     12.945 2
43.69 46.19 53.81     10.740 2
49.10 44.39 54.93      4.631 2
38.48 43.95 53.59      5.016 2
37.61 45.52 54.71      3.911 2
46.73 46.41 53.36      3.424 2
42.73 45.52 53.59      3.386 2
39.70 45.96 52.69     15.777 2
43.74 46.19 54.26      4.357 2
42.61 45.74 54.48      3.483 2
43.79 45.52 55.61      5.282 3
52.81 43.95 53.14      4.235 3
52.14 46.64 53.36      3.516 3
44.27 48.65 57.85      3.266 3
55.47 47.53 53.59      6.751 3
48.92 47.31 50.90      4.760 3
49.14 48.43 56.28     17.560 3
45.20 47.09 54.26     36.741 3
46.59 48.21 53.81      4.254 3
51.18 46.41 58.07      5.616 3
45.99 46.64 54.71      3.155 3
43.89 45.96 56.05      3.408 3
47.45 49.55 55.16      3.180 3
44.65 41.03 51.79      3.159 3
40.05 47.98 54.04      3.904 3
45.98 42.83 52.91      3.720 3
44.36 47.09 54.93      4.764 3
46.43 49.10 53.14      5.022 3
52.06 45.07 54.04      9.377 3
45.69 44.84 53.81      4.171 3
47.43 52.91 56.05      9.132 4
58.37 53.81 54.93     17.016 4
51.06 53.59 55.61      4.108 4
56.50 48.21 52.02      3.418 4
44.73 46.86 52.91      4.191 4
48.77 44.62 55.38      5.345 4
46.54 47.76 57.40      3.727 4
51.43 49.55 54.71      3.313 4
61.97 45.07 52.69      7.359 4
43.40 52.91 55.16      3.601 4
39.91 45.96 53.14      3.026 4
51.06 44.39 49.55      3.345 4
48.31 48.88 53.36      6.910 4
50.65 49.10 56.95      3.148 4
57.75 49.78 55.61      4.502 4
47.35 48.88 55.16      3.315 4
55.34 45.07 51.12      3.611 4
48.68 50.90 54.93      3.502 4
45.93 49.55 62.56     73.772 4
47.20 45.96 50.67      6.233 4
54.43 53.36 57.62      3.939 5
44.78 51.12 53.59      3.325 5
50.68 52.02 58.30      4.774 5
48.54 50.45 52.91      6.889 5
51.10 51.35 54.48      6.260 5
46.37 48.43 53.14      5.637 5
51.54 49.10 53.81     10.929 5
47.31 46.41 55.38      4.044 5
53.38 48.88 54.26      8.062 5
60.15 52.02 56.95      4.565 5
53.86 50.45 58.52     19.714 5
47.21 50.67 56.28      5.845 5
51.80 47.76 52.47      8.461 5
44.68 48.65 56.05      3.638 5
49.48 52.02 56.95      6.138 5
54.27 47.09 50.22     12.543 5
49.36 49.78 56.50      3.640 5
49.46 49.10 55.83      5.600 5
49.52 51.35 57.40     23.596 5
50.35 53.81 56.28      5.287 5
46.44 50.00 56.28      3.939 8
55.39 50.90 52.24      5.859 8
55.87 51.79 55.83      6.372 8
48.61 52.69 56.50      3.543 8
49.45 51.57 58.30      3.424 8
49.13 53.14 56.05      5.697 8
46.15 51.12 55.16      6.110 8
55.98 53.81 56.95     10.552 8
54.00 51.12 53.81      9.476 8
50.61 52.69 57.17      6.969 8
59.21 53.14 55.38      4.718 8
46.59 53.14 60.31      4.166 8
55.79 51.12 51.57     16.598 8
53.27 55.38 57.62      3.887 8
51.82 47.31 51.35      6.636 8
54.67 48.88 53.81      3.507 8
55.00 48.65 55.16     12.371 8
54.29 49.10 53.14     39.876 8
50.24 52.91 59.19      3.252 8
49.20 48.43 52.91      3.843 8
